,symbol,splits
54,NAT,[]
55,OGEN,"[{'ticker': 'OGEN', 'exDate': '2018-01-22', 'paymentDate': '2018-01-22', 'declaredDate': '2018-01-22', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OGEN', 'exDate': '2018-01-19', 'paymentDate': '2018-01-19', 'declaredDate': '2018-01-19', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OGEN', 'exDate': '2010-09-28', 'paymentDate': '2010-09-28', 'ratio': 20}]"
56,CHEK,[]
57,BORR,[]
58,EXPR,[]
59,PEI,[]
60,QEP,[]
61,ZSAN,"[{'ticker': 'ZSAN', 'exDate': '2018-01-26', 'paymentDate': '2018-01-26', 'declaredDate': '2018-01-26', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
62,MTNB,[]
63,DS,"[{'ticker': 'DS', 'exDate': '2013-05-15', 'paymentDate': '2013-05-15', 'ratio': 0.46882325363338}]"
64,WTRH,[]
65,RIGL,"[{'ticker': 'RIGL', 'exDate': '2003-06-25', 'paymentDate': '2003-06-25', 'ratio': 9.000090000900009}]"
66,AHT,"[{'ticker': 'AHT', 'exDate': '2020-07-16', 'paymentDate': '2020-07-16', 'declaredDate': '2020-07-16', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'AHT', 'exDate': '2013-11-19', 'paymentDate': '2013-11-19', 'ratio': 0.671140939597315}]"
67,ADXS,"[{'ticker': 'ADXS', 'exDate': '2019-03-29', 'paymentDate': '2019-03-29', 'declaredDate': '2019-03-29', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'ADXS', 'exDate': '2013-07-15', 'paymentDate': '2013-07-15', 'ratio': 125}]"
68,COCP,"[{'ticker': 'COCP', 'exDate': '2018-01-24', 'paymentDate': '2018-01-24', 'declaredDate': '2018-01-24', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}]"
69,XXII,[]
70,SAN,"[{'ticker': 'SAN', 'exDate': '2020-11-12', 'paymentDate': '2020-12-14', 'declaredDate': '2020-11-03', 'ratio': 0.9444475926030864, 'tofactor': 100, 'forfactor': 105.882}, {'ticker': 'SAN', 'exDate': '2012-01-10', 'paymentDate': '2012-01-10', 'ratio': 0.978723404255319}, {'ticker': 'SAN', 'exDate': '1999-06-21', 'paymentDate': '1999-06-21', 'ratio': 0.5}, {'ticker': 'SAN', 'exDate': '1998-08-17', 'paymentDate': '1998-08-17', 'ratio': 0.980392156862745}, {'ticker': 'SAN', 'exDate': '1998-07-06', 'paymentDate': '1998-07-06', 'ratio': 0.5}]"
71,AIKI,[]
72,NH,[]
73,TRCH,"[{'ticker': 'TRCH', 'exDate': '2010-12-15', 'paymentDate': '2010-12-15', 'ratio': 0.25}]"
