symbol,sector,industry,trades,p_lvl,adv_lvl
NAD,Financial Services,Asset Management,5,1,1
NJV,Financial Services,Asset Management,5,1,0
WSBF,Financial Services,BanksÑRegional,5,1,0
VKI,Financial Services,Asset Management,5,1,0
GLAQU,Financial Services,Shell Companies,5,1,0
PIAI,Financial Services,Shell Companies,5,1,0
RVSB,Financial Services,BanksÑRegional,5,1,0
GDL,Financial Services,Asset Management,5,1,0
BTRS,Technology,SoftwareÑApplication,5,1,1
BCBP,Financial Services,BanksÑRegional,5,1,0
RBB,Financial Services,BanksÑRegional,5,1,0
ALTUU,Financial Services,Shell Companies,5,1,0
PMO,Financial Services,Asset Management,5,1,0
GHLD,Financial Services,Mortgage Finance,5,1,0
LRMR,Healthcare,Biotechnology,5,1,0
SNFCA,Financial Services,Credit Services,5,1,0
STBA,Financial Services,BanksÑRegional,5,2,0
SBCF,Financial Services,BanksÑRegional,5,2,0
MBIN,Financial Services,BanksÑRegional,5,2,0
SENEB,Consumer Defensive,Packaged Foods,5,2,0
AE,Energy,Oil & Gas Integrated,5,2,0
ALCO,Consumer Defensive,Farm Products,5,2,0
UCBI,Financial Services,BanksÑRegional,5,2,0
CNOB,Financial Services,BanksÑRegional,5,2,0
KIDS,Healthcare,Medical Devices,5,2,0
HOFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5,2,0
SBTX,Healthcare,Biotechnology,5,2,0
TSC,Financial Services,BanksÑRegional,5,2,0
NBTB,Financial Services,BanksÑRegional,5,2,0
CKH,Energy,Oil & Gas Equipment & Services,5,2,0
CHMG,Financial Services,BanksÑRegional,5,2,0
CRAI,Industrials,Consulting Services,5,2,0
EGBN,Financial Services,BanksÑRegional,5,2,0
BPRN,Financial Services,BanksÑRegional,5,2,0
STND,Financial Services,BanksÑRegional,5,2,0
ALTA,Financial Services,BanksÑRegional,5,2,0
SMBC,Financial Services,BanksÑRegional,5,2,0
PEBK,Financial Services,BanksÑRegional,5,2,0
HMN,Financial Services,InsuranceÑProperty & Casualty,5,2,0
IMOS,Technology,Semiconductors,5,2,0
HUBG,Industrials,Integrated Freight & Logistics,5,2,0
SNEX,Financial Services,Capital Markets,5,3,0
ARW,Technology,Electronics & Computer Distribution,5,3,0
PLXS,Technology,Electronic Components,5,3,0
CBPO,Healthcare,Biotechnology,5,3,0
PTCT,Healthcare,Biotechnology,5,3,0
DIT,Consumer Defensive,Food Distribution,5,3,0
ESE,Technology,Scientific & Technical Instruments,5,3,0
CPK,Utilities,UtilitiesÑRegulated Gas,5,3,0
EWBC,Financial Services,BanksÑDiversified,5,3,1
SAFM,Consumer Defensive,Packaged Foods,5,3,0
MKSI,Technology,Scientific & Technical Instruments,5,3,0
PIPR,Financial Services,Capital Markets,5,3,0
CNBKA,Financial Services,BanksÑRegional,5,3,0
ANAT,Financial Services,InsuranceÑDiversified,5,3,0
PB,Financial Services,BanksÑRegional,5,3,0
KWR,Basic Materials,Specialty Chemicals,5,4,0
FLT,Technology,Information Technology Services,5,4,1
SMM,Financial Services,Asset Management,4,0,0
JMM, , ,4,1,0
NSH,Financial Services,Shell Companies,4,1,0
PFBI,Financial Services,BanksÑRegional,4,1,0
EMPW,Financial Services,Shell Companies,4,1,0
SPFI,Financial Services,BanksÑRegional,4,1,0
DSAC,Financial Services,Shell Companies,4,1,0
SAII,Financial Services,Shell Companies,4,1,0
PACXU,Financial Services,Shell Companies,4,1,1
GLTO,Healthcare,Biotechnology,4,1,0
IOR,Financial Services,Mortgage Finance,4,1,0
MOTN,Financial Services,Shell Companies,4,1,0
BAK,Basic Materials,Chemicals,4,1,0
AHACU,Financial Services,Shell Companies,4,1,0
FSLF,Financial Services,Asset Management,4,1,0
MPA,Financial Services,Asset Management,4,1,0
FRA,Financial Services,Asset Management,4,1,0
LMST,Financial Services,BanksÑRegional,4,1,0
NEXA,Basic Materials,Other Industrial Metals & Mining,4,1,0
PCSA,Healthcare,Biotechnology,4,1,0
MLAC,Financial Services,Shell Companies,4,1,0
HECCU,Financial Services,Shell Companies,4,1,0
VERY,Financial Services,InsuranceÑLife,4,1,0
NEBCU,Financial Services,Shell Companies,4,1,1
CMLFU,Financial Services,Shell Companies,4,1,0
HNNA,Financial Services,Asset Management,4,1,0
AMTBB,Financial Services,BanksÑRegional,4,1,0
MPV,Financial Services,Asset Management,4,1,0
CRSAU,Financial Services,Shell Companies,4,1,0
CHPMU,Financial Services,Shell Companies,4,1,0
DSACU,Financial Services,Shell Companies,4,1,0
TMTS,Financial Services,Shell Companies,4,1,0
BBF,Financial Services,Asset Management,4,1,0
EFL,,,4,1,0
CBAN,Financial Services,BanksÑRegional,4,1,0
LUXAU,Financial Services,Shell Companies,4,1,0
VTAQU,Financial Services,Shell Companies,4,1,0
TREC,Basic Materials,Specialty Chemicals,4,1,0
NUV,Financial Services,Asset Management,4,1,0
JEMD,,,4,1,0
MXE,Financial Services,Asset Management,4,1,0
CIA,Financial Services,InsuranceÑLife,4,1,0
BRBS,Financial Services,BanksÑRegional,4,1,0
BOWX,Financial Services,Shell Companies,4,1,1
DFPH,Financial Services,Shell Companies,4,1,0
BLSA,Financial Services,Shell Companies,4,1,0
ICCH,Financial Services,InsuranceÑSpecialty,4,1,0
NDP,Financial Services,Asset Management,4,1,0
IGACU,Financial Services,Shell Companies,4,1,0
PROV,Financial Services,BanksÑRegional,4,1,0
PTK,Financial Services,Shell Companies,4,1,0
CPZ,,,4,1,0
RTPZ,Financial Services,Shell Companies,4,1,0
BLUWU,Financial Services,Shell Companies,4,1,0
FCCY,Financial Services,BanksÑRegional,4,1,0
CFIVU,Financial Services,Shell Companies,4,1,1
SBI,Financial Services,Asset Management,4,1,0
UBFO,Financial Services,BanksÑRegional,4,1,0
DGICA,Financial Services,InsuranceÑProperty & Casualty,4,1,0
WNEB,Financial Services,BanksÑRegional,4,1,0
PTSI,Industrials,Trucking,4,2,0
STRS,Real Estate,Real EstateÑDiversified,4,2,0
HMST,Financial Services,BanksÑRegional,4,2,0
ATLO,Financial Services,BanksÑRegional,4,2,0
GSBC,Financial Services,BanksÑRegional,4,2,0
FCBC,Financial Services,BanksÑRegional,4,2,0
WTRE,Financial Services,InsuranceÑDiversified,4,2,0
SCSC,Technology,Electronics & Computer Distribution,4,2,0
RFL,Healthcare,Biotechnology,4,2,0
FBMS,Financial Services,BanksÑRegional,4,2,0
CHT,Communication Services,Telecom Services,4,2,0
NBN,Financial Services,BanksÑRegional,4,2,0
AMK,Financial Services,Asset Management,4,2,0
FWONK,Communication Services,Broadcasting,4,2,1
GNTY,Financial Services,BanksÑRegional,4,2,0
PFC,Financial Services,BanksÑRegional,4,2,0
GRC,Industrials,Specialty Industrial Machinery,4,2,0
RBNC,Financial Services,BanksÑRegional,4,2,0
HURN,Industrials,Consulting Services,4,2,0
PNM,Utilities,UtilitiesÑRegulated Electric,4,2,1
EFSC,Financial Services,BanksÑRegional,4,2,0
KMPR,Financial Services,InsuranceÑProperty & Casualty,4,3,0
THRM,Consumer Cyclical,Auto Parts,4,3,0
MANH,Technology,SoftwareÑApplication,4,3,0
